OBJECTID,ADM0_CODE,ADM0_NAME,CONTINENT,ISO3,ISO2,UNI,UNDP,FAOSTAT,GAUL,RIC_ISO3,REC_ISO3,AFR,CEMAC,CILSS,CRA,ECOWAS,IGAD,IOC,SADC,CICOS,ICPAC,BDMS,MOI,Shape_Leng,Shape_Area
"1","6",Sudan,Africa,SDN,SD,729.00000000000,SUD,276.00000000000,6.00000000000,ICPAC-SDN,IGAD-SDN,"1","0","0","0","0","4","0","0","0","14","0","0",8901699.37467000075,1843136006060.00000000000
"2","8",Angola,Africa,AGO,AO,24.00000000000,ANG,7.00000000000,8.00000000000,BDMS-AGO,SADC-AGO,"1","0","0","0","0","0","0","6","0","0","16","0",8271133.98008000012,1246673304900.00000000000
"3","29",Benin,Africa,BEN,BJ,204.00000000000,BEN,53.00000000000,29.00000000000,CRA-BEN,ECOWAS-BEN,"1","0","0","13","3","0","0","0","0","0","0","0",2407114.68839999987,115247372194.99998474121
"4","35",Botswana,Africa,BWA,BW,72.00000000000,BOT,20.00000000000,35.00000000000,BDMS-BWA,SADC-BWA,"1","0","0","0","0","0","0","6","0","0","16","0",4059814.09403999988,578263316409.00000000000
"5","42",Burkina Faso,Africa,BFA,BF,854.00000000000,BKF,233.00000000000,42.00000000000,CRA-BFA,ECOWAS_CILSS-BFA,"1","0","2","13","3","0","0","0","0","0","0","0",3471943.76966000022,273280817828.00000000000
"6","45",Cameroon,Africa,CMR,CM,120.00000000000,CMR,32.00000000000,45.00000000000,CICOS-CMR,CEMAC-CMR,"1","1","0","0","0","0","0","0","11","0","0","0",5927085.90916999895,465362915532.99993896484
"8","49",Central African Republic,Africa,CAF,CF,140.00000000000,CAF,37.00000000000,49.00000000000,CICOS-CAF,CEMAC-CAF,"1","1","0","0","0","0","0","0","11","0","0","0",5487523.67882999964,619590920550.00000000000
"9","50",Chad,Africa,TCD,TD,148.00000000000,CHD,39.00000000000,50.00000000000,CRA_CICOS-TCD,CEMAC_CILSS-TCD,"1","1","2","13","0","0","0","0","11","0","0","0",6103298.28467999958,1264962813740.00000000000
"11","59",Congo,Africa,COG,CG,178.00000000000,PRC,46.00000000000,59.00000000000,CICOS-COG,CEMAC-COG,"1","1","0","0","0","0","0","0","11","0","0","0",4712414.49048999976,340599231731.00000000000
"12","66",Côte d'Ivoire,Africa,CIV,CI,384.00000000000,IVC,107.00000000000,66.00000000000,CRA-CIV,ECOWAS-CIV,"1","0","0","13","3","0","0","0","0","0","0","0",3694641.03053000011,321762590772.00000000000
"13","68",Democratic Republic of the Congo,Africa,COD,CD,180.00000000000,ZAI,250.00000000000,68.00000000000,BDMS-COD,SADC-COD,"1","0","0","0","0","0","0","6","11","0","16","0",10931266.60339999944,2329160207450.00000000000
"14","70",Djibouti,Africa,DJI,DJ,262.00000000000,DJI,72.00000000000,70.00000000000,ICPAC-DJI,IGAD-DJI,"1","0","0","0","0","4","0","0","0","14","0","0",1069645.66318999999,21669447337.59999847412
"15","74",South Sudan,Africa,SSD,SS,728.00000000000,,277.00000000000,74.00000000000,ICPAC-SSD,IGAD-SSD,"1","0","0","0","0","4","0","0","0","14","0","0",5183002.18709999975,629820901874.00000000000
"16","76",Equatorial Guinea,Africa,GNQ,GQ,226.00000000000,EQG,61.00000000000,76.00000000000,CICOS-GNQ,CEMAC-GNQ,"1","1","0","0","0","0","0","0","11","0","0","0",1066442.23569000000,27000000144.19999694824
"17","77",Eritrea,Africa,ERI,ER,232.00000000000,ERI,178.00000000000,77.00000000000,ICPAC-ERI,IGAD-ERI,"1","0","0","0","0","4","0","0","0","14","0","0",5495772.07158000022,120762611391.00000000000
"18","79",Ethiopia,Africa,ETH,ET,231.00000000000,ETH,238.00000000000,79.00000000000,ICPAC-ETH,IGAD-ETH,"1","0","0","0","0","4","0","0","0","14","0","0",5556411.23151999991,1129309246750.00000000000
"19","89",Gabon,Africa,GAB,GA,266.00000000000,GAB,74.00000000000,89.00000000000,CICOS-GAB,CEMAC-GAB,"1","1","0","0","0","0","0","0","11","0","0","0",5335122.52218000032,264022384724.00000000000
"20","90",Gambia,Africa,GMB,GM,270.00000000000,GAM,75.00000000000,90.00000000000,CRA-GMB,ECOWAS_CILSS-GMB,"1","0","2","13","3","0","0","0","0","0","0","0",881049.57042799995,11202429619.20000076294
"21","94",Ghana,Africa,GHA,GH,288.00000000000,GHA,81.00000000000,94.00000000000,CRA-GHA,ECOWAS-GHA,"1","0","0","13","3","0","0","0","0","0","0","0",2858701.45856999978,238841591363.00000000000
"22","105",Guinea-Bissau,Africa,GNB,GW,624.00000000000,GBS,175.00000000000,105.00000000000,CRA-GNB,ECOWAS_CILSS-GNB,"1","0","2","13","3","0","0","0","0","0","0","0",12611427.75119999982,30740126848.20000457764
"23","106",Guinea,Africa,GIN,GN,324.00000000000,GUI,90.00000000000,106.00000000000,CRA-GIN,ECOWAS-GIN,"1","0","0","13","3","0","0","0","0","0","0","0",7406841.76831999980,243022893028.00000000000
"24","133",Kenya,Africa,KEN,KE,404.00000000000,KEN,114.00000000000,133.00000000000,ICPAC-KEN,IGAD-KEN,"1","0","0","0","0","4","0","0","0","14","0","15",5378069.36565999966,582338075750.00000000000
"25","142",Lesotho,Africa,LSO,LS,426.00000000000,LES,122.00000000000,142.00000000000,BDMS-LSO,SADC-LSO,"1","0","0","0","0","0","0","6","0","0","16","0",866644.73201299994,30453423852.70000076294
"26","144",Liberia,Africa,LBR,LR,430.00000000000,LIR,123.00000000000,144.00000000000,CRA-LBR,ECOWAS-LBR,"1","0","0","13","3","0","0","0","0","0","0","0",2136862.24075999996,96102529127.80000305176
"27","150",Madagascar,Africa,MDG,MG,450.00000000000,MAG,129.00000000000,150.00000000000,BDMS_MOI-MDG,SADC_IOC-MDG,"1","0","0","0","0","0","5","6","0","0","16","15",14419331.27730000205,588833717102.00000000000
"28","152",Malawi,Africa,MWI,MW,454.00000000000,MLW,130.00000000000,152.00000000000,BDMS-MWI,SADC-MWI,"1","0","0","0","0","0","0","6","0","0","16","0",2952935.94963999977,118714826454.00000000000
"29","155",Mali,Africa,MLI,ML,466.00000000000,MLI,133.00000000000,155.00000000000,CRA-MLI,ECOWAS_CILSS-MLI,"1","0","2","13","3","0","0","0","0","0","0","0",7538769.57988000009,1251429962520.00000000000
"30","159",Mauritania,Africa,MRT,MR,478.00000000000,MAU,136.00000000000,159.00000000000,CRA-MRT,CILSS-MRT,"1","0","2","13","0","0","0","0","0","0","0","0",6699697.98108999897,1038535070739.99987792969
"32","170",Mozambique,Africa,MOZ,MZ,508.00000000000,MOZ,144.00000000000,170.00000000000,BDMS-MOZ,SADC-MOZ,"1","0","0","0","0","0","0","6","0","0","16","15",9050618.84194999933,787305232873.00000000000
"33","172",Namibia,Africa,NAM,NA,516.00000000000,NAM,147.00000000000,172.00000000000,BDMS-NAM,SADC-NAM,"1","0","0","0","0","0","0","6","0","0","16","0",5950403.79408000037,823976149273.00012207031
"34","181",Niger,Africa,NER,NE,562.00000000000,NER,158.00000000000,181.00000000000,CRA-NER,ECOWAS_CILSS-NER,"1","0","2","13","3","0","0","0","0","0","0","0",5800958.86013999954,1182566283130.00000000000
"35","182",Nigeria,Africa,NGA,NG,566.00000000000,NIR,159.00000000000,182.00000000000,CRA-NGA,ECOWAS-NGA,"1","0","0","13","3","0","0","0","0","0","0","0",7522745.05941999983,908977744939.00000000000
"36","217",Senegal,Africa,SEN,SN,686.00000000000,SEN,195.00000000000,217.00000000000,CRA-SEN,ECOWAS_CILSS-SEN,"1","0","2","13","3","0","0","0","0","0","0","0",6048143.33739999961,196200401240.00000000000
"38","221",Sierra Leone,Africa,SLE,SL,694.00000000000,SIL,197.00000000000,221.00000000000,CRA-SLE,ECOWAS-SLE,"1","0","0","13","3","0","0","0","0","0","0","0",3295138.60551000014,72281402777.39999389648
"39","226",Somalia,Africa,SOM,SO,706.00000000000,SOM,201.00000000000,226.00000000000,ICPAC-SOM,IGAD-SOM,"1","0","0","0","0","4","0","0","0","14","0","0",6315228.98711999971,632570850093.00000000000
"40","227",South Africa,Africa,ZAF,ZA,710.00000000000,SAF,202.00000000000,227.00000000000,BDMS-ZAF,SADC-ZAF,"1","0","0","0","0","0","0","6","0","0","16","0",8934181.17342000082,1220128274130.00000000000
"42","243",Togo,Africa,TGO,TG,768.00000000000,TOG,217.00000000000,243.00000000000,CRA-TGO,ECOWAS-TGO,"1","0","0","13","3","0","0","0","0","0","0","0",1773943.41464000009,56766626895.69999694824
"43","253",Uganda,Africa,UGA,UG,800.00000000000,UGA,226.00000000000,253.00000000000,ICPAC-UGA,IGAD-UGA,"1","0","0","0","0","4","0","0","0","14","0","0",2576804.99483999982,241495067928.00000000000
"44","257",United Republic of Tanzania,Africa,TZA,TZ,834.00000000000,URT,215.00000000000,257.00000000000,BDMS-TZA,SADC-TZA,"1","0","0","0","0","0","0","6","0","0","16","15",9157729.93145000003,939588314746.00000000000
"45","270",Zambia,Africa,ZMB,ZM,894.00000000000,ZAM,251.00000000000,270.00000000000,BDMS-ZMB,SADC-ZMB,"1","0","0","0","0","0","0","6","0","0","16","0",5940950.40723000094,751069061337.00000000000
"46","271",Zimbabwe,Africa,ZWE,ZW,716.00000000000,ZIM,181.00000000000,271.00000000000,BDMS-ZWE,SADC-ZWE,"1","0","0","0","0","0","0","6","0","0","16","0",3043893.41563000018,390648378302.00000000000
"48","43",Burundi,Africa,BDI,BI,108.00000000000,BDI,29.00000000000,43.00000000000,ICPAC-BDI,OTHER-BDI,"1","0","0","0","0","0","0","0","0","14","0","0",1011255.91494000005,26857168079.59999847412
"52","205",Rwanda,Africa,RWA,RW,646.00000000000,RWA,184.00000000000,205.00000000000,ICPAC-RWA,OTHER-RWA,"1","0","0","0","0","0","0","0","0","14","0","0",901290.95394100004,25388483886.89999771118
