,2020,2025,2030,2035,,,,,
1,0,18.442008,20.74754528,98.91451024,,,,,
2,0,28.2842192,44.04527219,135.5374402,,,,,
3,0.31906085,39.79584404,67.93997062,183.7760593,,,,,
4,2.452624,64.95825762,98.30332492,213.16368,,,,,
5,3.688706165,89.114748,148.0101151,272.5137437,,,,,
6,5.864592,120.6495957,191.3988357,320.4602272,,,,,
7,9.533056,161.6644784,248.3972596,364.0234349,,,,,
8,10.914136,200.4841552,288.7683376,445.1994991,,,,,
9,13.94014254,271.798459,381.0983869,694.0357735,,,,,
10,233.9608762,1980.708478,1734.319959,6102.937579,,,,,
