location,ISO3,energy_file,clover_sub
Angola,AGO,Angola,Angola
Benin,BEN,Benin,Benin
Botswana,BWA,Botswana,Botswana
Burkina Faso,BFA,Burkina Faso,Burkina_Faso
Burundi,BDI,Burundi,Burundi
Cameroon,CMR,Cameroon,Cameroon
Central African Republic,CAF,Central African Republic,Central_African_Republic
Chad,TCD,Niger,Niger
Cote d'Ivoire,CIV,Cote d'Ivoire,Cote_d_Ivoire
DRC,COD,DRC,DRC
Djibouti,DJI,Sudan,Sudan
Equatorial Guinea,GNQ,Cameroon,Cameroon
Eritrea,ERI,Ethiopia,Ethiopia
Ethiopia,ETH,Ethiopia,Ethiopia
Gabon,GAB,Republic of Congo,Republic_of_Congo
Gambia,GMB,Gambia,Gambia
Ghana,GHA,Ghana,Ghana
Guinea,GIN,Guinea,Guinea
Guinea-Bissau,GNB,Guinea-Bissau,Guinea-Bissau
Kenya,KEN,Kenya,Kenya
Lesotho,LSO,Lesotho,Lesotho
Liberia,LBR,Liberia,Liberia
Madagascar,MDG,Madagascar,Madagascar
Malawi,MWI,Malawi,Malawi
Mali,MLI,Mali,Mali
Mauritania,MRT,Mauritania,Mauritania
Mozambique,MOZ,Mozambique,Mozambique
Namibia,NAM,Namibia,Namibia
Niger,NER,Niger,Niger
Nigeria,NGA,Nigeria,Nigeria
Republic of Congo,COG,Republic of Congo,Republic_of_Congo
Rwanda,RWA,Rwanda,Rwanda
Senegal,SEN,Senegal,Senegal
Sierra Leone,SLE,Sierra Leone,Sierra_Leone
Somalia,SOM,Sudan,Sudan
South Africa,ZAF,South Africa,South_Africa
South Sudan,SSD,Sudan,Sudan
Sudan,SDN,Sudan,Sudan
Tanzania,TZA,Tanzania,Tanzania
Togo,TGO,Togo,Togo
Uganda,UGA,Uganda,Uganda
Zambia,ZMB,Zambia,Zambia
Zimbabwe,ZWE,Zimbabwe,Zimbabwe
