,Countries,ISO3,Tier_1,Tier_2,Tier_3,Tier_4
0,Angola,AGO,1,1,1,1
1,Benin,BEN,1,1,1,1
2,Botswana,BWA,1,1,1,1
3,Burkina Faso,BFA,1,1,1,1
4,Burundi,BDI,1,1,1,1
5,Cameroon,CMR,1,1,1,1
6,Central African Republic,CAF,1,1,1,1
7,Chad,TCD,1,1,1,1
8,Cote d'Ivoire,CIV,1,1,1,1
9,Djibouti,DJI,1,1,1,1
10,DRC,COD,1,1,1,1
11,Equatorial Guinea,GNQ,1,1,1,1
12,Eritrea,ERI,1,1,1,1
13,Ethiopia,ETH,1,1,1,1
14,Gabon,GAB,1,1,1,1
15,Gambia,GMB,1,1,1,1
16,Ghana,GHA,1,1,1,1
17,Guinea,GIN,1,1,1,1
18,Guinea-Bissau,GNB,1,1,1,1
19,Kenya,KEN,1,1,1,1
20,Lesotho,LSO,1,1,1,1
21,Liberia,LBR,1,1,1,1
22,Madagascar,MDG,1,1,1,1
23,Malawi,MWI,1,1,1,1
24,Mali,MLI,1,1,1,1
25,Mauritania,MRT,1,1,1,1
26,Mozambique,MOZ,1,1,1,1
27,Namibia,NAM,1,1,1,1
28,Niger,NER,1,1,1,1
29,Nigeria,NGA,1,1,1,1
30,Republic of Congo,COG,1,1,1,1
31,Rwanda,RWA,1,1,1,1
32,Senegal,SEN,1,1,1,1
33,Sierra Leone,SLE,1,1,1,1
34,Somalia,SOM,1,1,1,1
35,South Africa,ZAF,1,1,1,1
36,South Sudan,SSD,1,1,1,1
37,Sudan,SDN,1,1,1,1
38,Tanzania,TZA,1,1,1,1
39,Togo,TGO,1,1,1,1
40,Uganda,UGA,1,1,1,1
41,Zambia,ZMB,1,1,1,1
42,Zimbabwe,ZWE,1,1,1,1
