,Countries,ISO3,Tier_1,Tier_2,Tier_3,Tier_4
0,Angola,AGO,2.3656176376121687,2.275566777754346,2.371236978675413,2.6249585006338094
1,Benin,BEN,2.529597749699834,1.9831530613258768,1.8135600234088969,2.462364743492283
2,Botswana,BWA,2.459016643158628,2.1219264458253284,2.116805931783241,2.622099575512331
3,Burkina Faso,BFA,2.170707445854916,1.7906652540398362,1.8089430353244838,2.6112234382349087
4,Burundi,BDI,2.4045751279775995,2.0577942514944727,1.9390053989962974,2.2015943582538986
5,Cameroon,CMR,2.3970490583951642,2.3294589265526042,2.3305025687424785,2.675963790166092
6,Central African Republic,CAF,2.5110952228832555,1.8562985776316927,1.95297645358457,2.1437208359453446
7,Chad,TCD,2.4130669308308024,1.8504602020610161,1.7522777312699869,2.4188024864601267
8,Cote d'Ivoire,CIV,2.1889218147233382,1.7467703254899118,1.8477747737223478,2.26934094345725
9,Djibouti,DJI,2.3425097399971935,1.8697231919252906,2.1159833471424396,2.359018629248109
10,DRC,COD,2.2925785252760362,1.9963173509545393,2.004863956565351,2.695276335830761
11,Equatorial Guinea,GNQ,2.3970490583951642,2.3294589265526042,2.3305025687424785,2.675963790166092
12,Eritrea,ERI,2.465021655256594,2.2375349609187656,2.3960117888729404,2.845785129644282
13,Ethiopia,ETH,2.465021655256594,2.2375349609187656,2.3960117888729404,2.845785129644282
14,Gabon,GAB,2.323418102487125,1.7900639816004278,1.9077605765756278,2.1271556580497784
15,Gambia,GMB,2.0744256421356218,1.7921431440356206,1.7103481557423,2.4172556411717534
16,Ghana,GHA,2.511189849873108,1.781261728879351,1.6821104613766429,1.911598454629051
17,Guinea,GIN,2.477942318795795,1.9969709136169949,2.1644028922271943,3.065783849610196
18,Guinea-Bissau,GNB,2.178914016975724,1.7568072378478168,1.701039986063197,2.5135830091411724
19,Kenya,KEN,2.2257279589776746,2.3529726023375597,2.3541666766323104,2.5942667831962756
20,Lesotho,LSO,2.43679488183393,2.048624996463284,1.7178533715621453,2.2711610239115023
21,Liberia,LBR,2.4138067761753548,1.8545256096120042,1.886338445503956,2.011909722395975
22,Madagascar,MDG,2.3787218760026607,2.1825674536354716,1.899553167373323,2.1602763221552927
23,Malawi,MWI,2.3351687785343382,1.8356288967227732,1.8542044035733025,2.0151562521654647
24,Mali,MLI,2.2373603335715764,1.8187334011792136,1.7994301719165313,2.5477948631479066
25,Mauritania,MRT,2.3169420008018378,2.1291680389396856,2.15916816602478,2.6447188417717737
26,Mozambique,MOZ,2.7332139069554118,1.8444369129407905,1.9686557209944016,2.439797590011402
27,Namibia,NAM,2.400109783765005,2.3092318773334175,2.275669951370374,2.612113601674425
28,Niger,NER,2.4130669308308024,1.8504602020610161,1.7522777312699869,2.4188024864601267
29,Nigeria,NGA,2.4527793730153244,2.058922988521684,2.183267863500106,2.5537508526380273
30,Republic of Congo,COG,2.323418102487125,1.7900639816004278,1.9077605765756278,2.1271556580497784
31,Rwanda,RWA,2.394082340131196,2.0930161846005926,2.0135687053842592,2.711718820210389
32,Senegal,SEN,2.47327966014993,1.667080721330395,1.618029068838794,2.461534069636034
33,Sierra Leone,SLE,2.288232420765842,1.8816588904449845,1.9495915717058612,2.46435294298302
34,Somalia,SOM,2.2925785252760362,1.9963173509545393,2.004863956565351,2.695276335830761
35,South Africa,ZAF,2.448461519078427,2.303463170487999,2.5320733233926025,2.913273482138291
36,South Sudan,SSD,2.2925785252760362,1.9963173509545393,2.004863956565351,2.695276335830761
37,Sudan,SDN,2.2925785252760362,1.9963173509545393,2.004863956565351,2.695276335830761
38,Tanzania,TZA,2.7301397192304733,2.2963060350588207,2.3058198642192225,2.4746418359869176
39,Togo,TGO,2.3035953804882854,1.9541905353065876,2.01444125549456,2.304097775624241
40,Uganda,UGA,2.480819610500967,2.0210871395872494,2.1186656952816216,2.4339763539797956
41,Zambia,ZMB,2.5144484559312614,2.498315218057131,2.9249823978247655,2.9377713517127266
42,Zimbabwe,ZWE,2.2647786769869103,2.4665276552114843,2.668814764748599,2.4153336752441006
