,ISO3,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,AGO,13404424.455808304,13702576.43181231,14025659.273873609,14353015.60646107,14687142.23137913,15019026.812161397,15364964.938200379,15722992.306033695,16081540.799319532,16448691.293453217,16816676.282083586
1,BEN,3645945.5291913287,3288040.153482956,2946756.1585650817,2607996.270468318,2269273.5224360777,1927519.076770972,1590760.155373127,1257104.647663428,927227.865009448,600162.429811251,275482.933352003
2,BWA,538577.6447820261,506025.14660325093,475452.74998751195,444326.318185571,413877.68433978996,383589.869337358,353294.932044142,323266.92838123,293240.581584131,263276.903164352,233236.931311967
3,BFA,12160828.373921508,12191802.992203701,12246040.957747169,12299768.706110429,12366015.78784021,12438947.457142252,12519685.700626144,12612468.972444586,12707248.276853092,12817794.604591396,12924287.191146862
4,BDI,8963907.864454757,9003948.191255316,9105472.73711244,9224114.461382989,9352746.92347528,9497117.12528333,9645751.480064575,9790538.087374952,9949407.902956784,10112117.969854139,10281070.659033401
5,CMR,11132108.46196954,10928644.931647182,10757016.453124695,10581893.56997746,10414719.512084885,10271080.469133949,10130383.944819013,9981661.804827264,9852188.39532772,9713314.161451073,9575766.354063591
6,CAF,3679398.781109204,3612925.7265336867,3570483.193317419,3516381.103563568,3481493.004831051,3455203.0753074177,3422327.490008871,3384727.905991369,3357838.265046304,3325494.4818791132,3294444.541014173
7,TCD,11569908.965633746,11683306.016910112,11824367.025457999,11993224.20691323,12171070.16623496,12318552.014340505,12476720.533196809,12666210.484376768,12869485.821562061,13055546.464970209,13252891.557874989
8,CIV,4719257.008407266,3899437.9878967395,3085415.490957863,2272343.3708567577,1456923.117129955,644083.738686867,0.0,0.0,0.0,0.0,0.0
9,COD,57446172.755378224,56775710.0922207,56356101.55869762,55795198.72610957,55509276.59311266,55192561.25438133,54913644.38478194,54729919.0090319,54500938.89873191,54319128.740785025,54218164.89759866
10,DJI,2764.6565477639997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,GNQ,197836.58473024,194541.884911942,192608.715090616,191081.12882020703,189917.276984893,189357.23854044502,188971.24236300797,188790.964025451,188944.501518221,186577.47188984798,184415.306714266
12,ERI,3652176.2134304377,3608908.557890518,3609212.446719438,3619164.636187171,3635984.108582451,3658580.62284963,3685578.562197039,3719240.181094708,3758232.212927268,3799717.24071222,3849303.0070884745
13,ETH,75343935.85474616,76734454.34783481,78147726.08484198,79539313.39886011,80998663.84187722,82445265.08272801,83945184.40188697,85496530.94630997,87012868.06685452,88572315.66386202,90190975.08058907
14,GAB,346928.39711257606,360522.816959833,373102.68908899,387501.17054270196,401096.750413205,415281.107676522,429578.358559026,442997.781056733,457216.281425867,471083.88183087,484801.271888303
15,GMB,511820.16049730906,466494.807997264,421278.98107258795,379186.966107405,334758.653347082,295515.665837654,252633.679397115,215472.009578144,175847.74556352798,137131.447503595,100366.58123688499
16,GHA,2797001.661258471,1720248.670882144,647064.3527543279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,GIN,6247742.102051584,6159560.620284345,6074907.344456313,5994472.486037749,5912224.491639533,5828544.873783633,5744140.574492943,5665150.282244805,5583090.171288699,5508027.3163579125,5429071.187147092
18,GNB,961873.485893633,927805.707812469,902627.905152925,883541.2627132221,869355.597528297,856675.266111492,833491.6773627731,814426.6681195011,799575.700850727,782646.720251021,768999.09404602
19,KEN,14645678.463484474,12574346.627330558,10529636.585265502,8491807.15826323,6455489.677516205,4429323.790668888,2407627.0020850115,392905.04724719,0.0,0.0,0.0
