,ISO3,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,AGO,13727163.483420432,14026939.550337004,14353218.44695735,14684401.394899616,15023287.436292266,15363258.652489198,15700510.689033914,16052930.449503114,16417279.550270792,16787325.57561457,17160302.921667635,17463598.845529545,17779241.93143587,18093049.972345173,18417190.72888791,18741560.530144557
1,BEN,3912528.786932559,3531657.6619655667,3159358.512545942,2784579.746036404,2416624.140429673,2054349.5397051391,1696989.346747522,1338497.463681654,983440.321905514,632802.1507123159,285530.20936078194,0.0,0.0,0.0,0.0,0.0
2,BWA,582032.8046592979,545444.728858287,510981.6963197468,476793.36188175547,442605.35139822395,407953.9884431643,373717.9863876003,339623.0077117292,305789.5583226099,271993.8704066044,238028.9755735008,202971.39879451907,167981.2657930661,133173.8911729438,98411.37956228331,63628.1455214235
3,BFA,12544051.333347578,12574366.875614386,12608623.90088947,12668668.484433837,12722273.5320054,12783786.876590336,12856188.700121604,12945471.63911778,13033925.3957709,13139029.665543444,13257189.658860117,13312157.351402506,13363712.048607253,13430933.04964226,13497608.332948139,13575132.843125291
4,BDI,9819290.747480467,9845121.897516578,9931045.817635395,10042033.806137893,10167292.860059127,10308657.159609923,10454661.111553602,10605546.36918329,10764284.830275936,10928989.39466837,11097791.63348801,11217459.431929331,11340582.974472169,11465829.891697254,11592330.448639411,11719440.848039234
5,CMR,11921249.090798553,11692836.5392266,11505279.874119649,11334768.181139704,11148712.474456266,10966374.88957389,10788951.9072381,10612498.501567695,10440964.540452287,10282095.878587943,10128333.347839203,9931804.20465821,9746986.675266804,9563713.372609438,9387165.11605664,9212263.681820694
6,CAF,3948770.8190313578,3884448.593759762,3845229.7333785053,3795238.9051968595,3764794.350749605,3718820.338890087,3693429.810590284,3663080.825022307,3639735.573745815,3610278.941658338,3592432.42106752,3558309.7288904795,3526385.0226166286,3488809.8069746457,3452206.3994331085,3421016.4804840693
7,TCD,11124506.172996202,11250537.992868142,11398551.937472358,11565037.975875665,11745129.379163083,11904209.917145684,12103765.433281934,12282923.36009689,12478784.617240656,12688852.439546373,12909131.35224673,13055529.93846947,13213339.566777116,13383810.835336724,13565444.53608252,13755769.739443522
8,CIV,4911433.7443225365,4071356.930930493,3234256.116489694,2394111.5936272955,1557632.9716384662,723411.3996109834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,COD,57970263.502995394,57307894.141917504,56905227.98894143,56364167.511892475,55903200.62032494,55601123.76278335,55350004.670196556,55109285.87077738,54931457.41711436,54794264.3706392,54664317.38121044,54224766.03064756,53823695.64635374,53408647.549021155,53051937.947085716,52720541.8867255
