,ISO3,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0,AGO,13569595.61165371,13372041.006021753,12525884.431802716,10893133.778282102,8541102.587802697,5843489.733741259,3338465.0235634875,1525621.746799086,565080.05938624,0.0
1,BEN,3274160.436076656,2881265.562206782,2438304.166787781,2039586.7336646782,1701184.138777127,1366229.2088387622,1030374.401830715,692307.837639715,349869.73948937404,0.0
2,BWA,501995.594077193,458106.590695514,399333.19456343,324757.05417628004,238722.36823791201,167240.983563859,128448.858896793,87816.35390953401,45159.81329372,0.0
3,BFA,12066408.012399603,11645700.354715183,10679850.247175988,9074642.11459941,6928090.8852732405,4567178.421337392,2479502.5821045768,1054019.494277785,375745.959853419,0.0
4,BDI,8857031.063423116,8551445.420874398,7891891.916935328,6704997.448013002,5141581.327846081,3406071.3335477337,1847035.2292227303,771870.862208515,238719.21470360504,0.0
5,CMR,10819378.519130481,10248906.978230033,9227876.940046161,7707754.2835374605,5804862.28776278,3795755.137976753,2062896.3932759392,898647.330599112,386598.82492551,0.0
6,CAF,3574822.3642672375,3403090.5188400913,3066534.9136732565,2573550.565848671,1949686.41857936,1276780.989896853,685335.4053523659,299826.08439372596,125180.650522682,0.0
7,TCD,11565638.615248512,11246117.004723657,10416223.11559157,8934292.01414532,6865417.896818958,4550407.127067442,2488914.98554583,1058614.7428352372,345067.982490847,0.0
8,CIV,3899437.9878967395,3085415.490957863,2272343.3708567577,1456923.117129955,644083.738686867,0.0,0.0,0.0,0.0,0.0
9,COD,56184962.5625957,53720197.29997282,48768023.751423195,41319834.5447803,31469562.50447664,20808417.342939757,11365418.894926473,4935581.951680217,1828273.73489943,0.0
10,DJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,GNQ,191777.18453572202,180744.665507514,163212.404970704,137584.78649216698,103992.997401034,68549.39982955999,37735.312733619,17524.958362155998,7636.451133101,0.0
12,ERI,3571654.5338186184,3431601.3146320265,3123939.233899612,2643197.2960371673,2006500.2498215549,1314563.812652803,706599.248112567,293772.802987906,94915.33185296,0.0
13,ETH,75976219.06520571,74297046.46639039,68977406.641959,59304081.23424989,45768205.48301322,30490760.790682912,16648151.249730116,6896839.713469404,2012526.244930433,0.0
14,GAB,356792.20898657304,355556.692116511,338122.31238967297,297970.069066428,237557.962790471,165591.306924693,97544.616664087,48847.704607651,23394.424336478,0.0
15,GMB,458824.816556264,401736.728144788,337281.821626405,267979.18054069,199506.130669577,154138.888148667,117614.14499032001,77790.78208766002,38204.09515136,0.0
16,GHA,1720248.670882144,647064.3527543279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,GIN,6097099.012533246,5791152.161861617,5239561.5634245705,4393320.872821829,3318836.006955689,2177402.66375556,1197652.879059026,550490.848502293,237231.08983850904,0.0
18,GNB,909088.093361669,849401.963728305,757937.242093406,628669.198151593,470206.06306821195,301164.945398355,162499.778632574,75833.91583722399,31543.835799916,0.0
19,KEN,12574346.627330557,10529636.585265502,8491807.15826323,6455489.677516205,4429323.790668888,2407627.0020850115,392905.04724719,0.0,0.0,0.0
20,LSO,675818.6615706219,621925.360000913,550135.246916666,448228.711766096,334009.32009824796,213186.277699881,113859.04095690101,48802.57236184701,24556.781518694006,0.0
21,LBR,2246785.321703192,2120159.101932323,1919795.578152224,1595367.521640073,1197662.414704277,789099.665316354,430351.6191032339,198440.107683691,92004.66868726799,0.0
22,MDG,15935417.484847847,15436874.629157333,14207815.494450757,12084464.127953779,9257447.737462556,6118414.262070262,3313775.940532091,1395524.416535839,456727.242940218,0.0
23,MWI,12081495.873755679,11679410.685486704,10763454.019093731,9184766.794857707,7014558.618161395,4622110.040932399,2499074.673870382,1030233.5279715091,318736.478695309,0.0
24,MLI,10346079.010876175,9933210.429291878,9065565.966347976,7678908.862435975,5845127.154021224,3863918.4721507425,2126497.2166452,959174.9391324001,409848.60272418,0.0
25,MRT,1903340.798925851,1849692.926941235,1716274.8643371912,1476742.2425432121,1146759.519154682,775835.863466189,441416.114123939,209931.52630019002,96474.245526833,0.0
26,MOZ,15622091.56333474,15068057.336797839,13809684.280803248,11761351.900082834,9022391.137970319,6006473.487842634,3307435.1051984723,1459170.4394599032,535462.980462766,0.0
27,NAM,864428.8742545771,823072.4993411279,749585.096636715,637571.76164246,492791.83441885404,338517.809500406,198884.262711041,100434.708118044,51269.226750395,0.0
28,NER,13981398.323194094,13592142.890680123,12581740.305446517,10829405.667153237,8393810.377957959,5644860.663639086,3135418.764081561,1361698.793645538,474682.35013184394,0.0
29,NGA,68334787.04413924,64405165.22681487,57748110.7427365,48017558.83997756,35899326.4698358,23278570.957775287,12646986.141521841,5813727.790448625,2948469.92764137,0.0
30,COG,1365865.720240873,1316275.807120991,1213517.2320634131,1044997.8361129459,814005.9417765419,538515.98778958,303623.945807387,142351.74755921797,59109.495354932995,0.0
31,RWA,6808804.124789836,6337878.854746876,5570806.065340004,4581374.974707509,3373641.2728645205,2115421.930845855,1066346.8882292148,444902.30617189093,202118.32180184094,0.0
32,SEN,3244831.428188132,2874470.5555343023,2445552.322772925,1945824.7322837664,1603422.251216486,1294462.144369212,982935.08825336,663637.968718708,337027.497079002,0.0
33,SLE,3260375.3234677073,3107051.423652266,2822301.347750386,2369442.3066293327,1792922.638706326,1168105.145003134,634251.280885333,278735.39058874,104209.32559668901,0.0
34,SOM,5766983.348967996,5522629.260255147,5022961.18052892,4232587.5170518495,3203223.091769452,2104503.9241437702,1143158.660463839,506324.330639601,217752.140182394,0.0
35,ZAF,3912896.474376357,3400385.663318099,2887442.60180932,2374522.074727549,1862917.1947726272,1350824.1433441238,839303.439946654,327988.301501996,0.0,0.0
36,SSD,9714536.450833475,9627887.369540397,9077134.571521146,7961871.911451863,6284975.118063504,4307678.7628160715,2441950.1590795983,1075918.1891664672,341327.662150758,0.0
37,SDN,18045685.76318556,16867081.68364421,14998492.095249742,12365296.507373003,9168455.595611628,5910433.375886977,3207454.723665787,1519742.721996361,772431.360767056,0.0
38,TZA,30283077.28932341,28824346.935850427,26094668.19673056,21892022.4914537,16517734.64211244,10801314.61752394,5863745.591962732,2563415.701012652,1063883.663191134,0.0
39,TGO,2147365.234051593,1902472.586946574,1606429.430839367,1267825.300522905,992456.852557102,799603.521199433,605779.76078327,409668.809722684,204748.006325222,0.0
40,UGA,26124273.078719277,25235461.283940665,23148023.138493024,19671102.968026906,15004613.376406085,9920744.237266304,5390682.833107039,2269379.89847503,768542.5892971199,0.0
41,ZMB,7309612.015203525,6994177.517847792,6372967.541409703,5382470.894423866,4096015.67627328,2709626.347457352,1497534.709315983,679759.3307901621,299056.27469540405,0.0
42,ZWE,7260815.360661085,6931187.857795838,6272210.170016456,5245041.563350933,3924379.719470641,2522794.378970838,1311595.851339323,514808.279556751,143562.316904477,0.0
