,ISO3,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,AGO,13970618.107333902,14061975.062889153,13862866.801205777,13259362.139287064,12179264.652887158,10628346.692454692,8724688.806864973,6660846.452038904,4672825.856272208,2984640.49964734,1724946.161561226,955759.6326846981,549436.988289144,285923.26945747505,0.0
1,BEN,3531657.6619655667,3159358.512545942,2784579.746036404,2416624.140429673,2054349.5397051391,1696989.346747522,1338497.463681654,983440.321905514,632802.1507123159,285530.20936078194,0.0,0.0,0.0,0.0,0.0
2,BWA,544190.947880478,505817.00658449385,463088.2714605575,414613.67941598064,374594.84968850703,339234.84812703496,304012.46727452206,269032.188330291,234075.699483275,198872.321322378,162475.803955873,125103.45598018801,86580.23972778901,45996.819799425,0.0
3,BFA,12513137.681858087,12331043.69565685,11916368.886145862,11156106.835872218,10022216.324094664,8541608.243493304,6827808.723694751,5035377.961322073,3390670.1305914484,2064121.693803588,1111878.5256455059,616070.3333899421,417432.651923146,208381.43113582,0.0
4,BDI,9770800.954706578,9644397.413314754,9358465.559963835,8770145.96631153,7892729.067736523,6724934.635851501,5401328.757740111,3982415.688976416,2681834.599163699,1626654.138714551,848800.89306185,403178.10609674803,203924.29764263204,113190.07344452602,0.0
5,CMR,11643522.6070909,11270950.082301049,10707840.819109246,9854889.601477187,8712249.512957575,7308127.678871315,5758150.52210422,4196531.208285382,2812963.777100015,1721428.6289601051,1304256.580758217,989373.3510846042,665278.145930001,340921.56461304903,0.0
6,CAF,3867216.5517352624,3762626.165228105,3580459.2010529684,3319691.740190287,2946824.4365666327,2502220.5019786106,1991206.5273867843,1475838.6854191262,999950.6473730081,619414.506981194,358045.438998005,273721.0817153,182759.946357775,89943.05682630396,0.0
7,TCD,11189757.634574141,11130376.085918557,10846741.715002537,10266259.49448154,9292890.992757723,8006309.864841353,6441554.037532178,4793590.805301327,3254120.9359625867,1989425.8275770028,1057371.140765018,516704.701273824,259422.98594196103,154824.42451922203,0.0
8,CIV,4071356.930930493,3234256.116489694,2394111.5936272955,1557632.9716384662,723411.3996109834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,COD,57092735.28571951,55821211.11662903,53386668.05143184,49624269.91216345,44469489.56056062,37905374.24809644,30321518.96561239,22542465.67388078,15332562.715030469,9499642.302441392,5291080.223288806,3564503.417404999,2399421.2856765543,1219759.223620594,0.0
